fixture_name,partition,condition,solver,node_name,node_type,server_count,qlen,util,respt,residt,tput
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,ES2,Entry,1,18.221192929750867,NaN,18.653189549155925,NaN,0.9768406031436802
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,A1,Activity,1,19.078820717374974,0.0,55.99085182422506,0.0,0.34074889193095487
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,A2,Activity,1,18.132565050727788,0.0,18.692113294352954,0.0,0.9700650089792571
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,AS1,Activity,1,19.11609084372438,0.5116547478587272,56.04196264294956,14.571564260736565,0.3411031652391515
A2_multiclassB_2refs_demands_3to1_N20,A2,f20off,LN,AS2,Activity,1,18.248021529831465,0.48842030157183974,18.68065421431652,13.825470681582255,0.9768406031436795
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,PS,Processor,1,NaN,1.0000677793722397,NaN,NaN,NaN
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,R1,RefTask,1,19.17156805795132,0.0,NaN,0.0,0.20582414828895335
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,R2,RefTask,1,18.157856287980984,0.0,NaN,0.0,0.9623367884220013
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,TS,Task,1,37.66523122241433,1.0000677793722397,NaN,32.09600741305138,1.1735176508931857
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,ER1,Entry,1,19.17156805795132,NaN,93.14537782533006,NaN,0.20582414828895335
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,ER2,Entry,1,18.157856287980984,NaN,18.86850477550116,NaN,0.9623367884220013
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,ES1,Entry,1,19.466439582167567,NaN,94.19800561915486,NaN,0.20665447696282363
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,ES2,Entry,1,18.19879164024676,NaN,18.822509876208738,NaN,0.9668631739303617
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,A1,Activity,1,19.171568069322795,0.0,93.14537788057852,0.0,0.2058241482889534
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,A2,Activity,1,18.157856306917587,0.0,18.868504795178882,0.0,0.9623367884220018
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,AS1,Activity,1,19.451565856267887,0.5166361924070589,94.1260317325095,16.5881097462414,0.2066544769628236
A2_multiclassB_2refs_demands_5to1_N20,A2,f20off,LN,AS2,Activity,1,18.201398758072816,0.4834315869651808,18.825206346501904,15.507897666809978,0.9668631739303616
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,PR,Processor,1,NaN,0.0,NaN,NaN,NaN
A2_multiclassB_2refs_demands_3to1_N50,A2,f20off,LN,PS,Processor,1,NaN,1.0000051724108645,NaN,NaN,NaN
